movieId,title,year,year_norm,genres,genres_str,tags_str,content_str,imdbId,tmdbId,rating_count,rating_mean
64,Two if by Sea (1996),1996,0.8103448275862069,Comedy|Romance,comedy romance,,comedy romance,118002,19760,5,2.2
65,Bio-Dome (1996),1996,0.8103448275862069,Comedy,comedy,,comedy,115683,9536,31,2.5323
66,Lawnmower Man 2: Beyond Cyberspace (1996),1996,0.8103448275862069,Action|Sci-Fi|Thriller,action scifi thriller,,action scifi thriller,116839,11525,9,2.5
68,French Twist (Gazon maudit) (1995),1995,0.8017241379310345,Comedy|Romance,comedy romance,,comedy romance,113149,4482,5,3.4
69,Friday (1995),1995,0.8017241379310345,Comedy,comedy,,comedy,113118,10634,20,3.775
70,From Dusk Till Dawn (1996),1996,0.8103448275862069,Action|Comedy|Horror|Thriller,action comedy horror thriller,,action comedy horror thriller,116367,755,55,3.5091
71,Fair Game (1995),1995,0.8017241379310345,Action,action,,action,113010,11859,5,1.7
72,Kicking and Screaming (1995),1995,0.8017241379310345,Comedy|Drama,comedy drama,,comedy drama,113537,28387,7,3.2143
73,"Misérables, Les (1995)",1995,0.8017241379310345,Drama|War,drama war,,drama war,113828,48750,13,3.4615
74,Bed of Roses (1996),1996,0.8103448275862069,Drama|Romance,drama romance,,drama romance,115644,20927,8,4.0
75,Big Bully (1996),1996,0.8103448275862069,Comedy|Drama,comedy drama,,comedy drama,115676,36929,5,2.2
76,Screamers (1995),1995,0.8017241379310345,Action|Sci-Fi|Thriller,action scifi thriller,,action scifi thriller,114367,9102,15,3.4
77,Nico Icon (1995),1995,0.8017241379310345,Documentary,documentary,,documentary,113973,124626,1,4.0
78,"Crossing Guard, The (1995)",1995,0.8017241379310345,Action|Crime|Drama|Thriller,action crime drama thriller,,action crime drama thriller,112744,27526,3,3.3333
79,"Juror, The (1996)",1996,0.8103448275862069,Drama|Thriller,drama thriller,,drama thriller,116731,9623,17,2.7647
80,"White Balloon, The (Badkonake sefid) (1995)",1995,0.8017241379310345,Children|Drama,children drama,,children drama,112445,46785,2,4.0
81,Things to Do in Denver When You're Dead (1995),1995,0.8017241379310345,Crime|Drama|Romance,crime drama romance,,crime drama romance,114660,400,14,3.1071
82,Antonia's Line (Antonia) (1995),1995,0.8017241379310345,Comedy|Drama,comedy drama,,comedy drama,112379,880,8,3.875
83,Once Upon a Time... When We Were Colored (1995),1995,0.8017241379310345,Drama|Romance,drama romance,,drama romance,114039,146599,1,3.0
85,Angels and Insects (1995),1995,0.8017241379310345,Drama|Romance,drama romance,,drama romance,112365,8447,7,3.8571
86,White Squall (1996),1996,0.8103448275862069,Action|Adventure|Drama,action adventure drama,,action adventure drama,118158,10534,15,3.9667
87,Dunston Checks In (1996),1996,0.8103448275862069,Children|Comedy,children comedy,,children comedy,116151,17414,7,2.5
88,Black Sheep (1996),1996,0.8103448275862069,Comedy,comedy,,comedy,115697,13997,16,3.1562
89,Nick of Time (1995),1995,0.8017241379310345,Action|Thriller,action thriller,,action thriller,113972,2086,10,3.25
92,Mary Reilly (1996),1996,0.8103448275862069,Drama|Horror|Thriller,drama horror thriller,jekyll and hyde,drama horror thriller jekyll and hyde,117002,9095,8,2.625
93,Vampire in Brooklyn (1995),1995,0.8017241379310345,Comedy|Horror|Romance,comedy horror romance,,comedy horror romance,114825,12158,9,2.8333
94,Beautiful Girls (1996),1996,0.8103448275862069,Comedy|Drama|Romance,comedy drama romance,,comedy drama romance,115639,9283,10,3.95
95,Broken Arrow (1996),1996,0.8103448275862069,Action|Adventure|Thriller,action adventure thriller,,action adventure thriller,115759,9208,84,3.0238
96,In the Bleak Midwinter (1995),1995,0.8017241379310345,Comedy|Drama,comedy drama,theater,comedy drama theater,113403,40154,1,3.5
97,"Hate (Haine, La) (1995)",1995,0.8017241379310345,Crime|Drama,crime drama,,crime drama,113247,406,10,3.9
99,Heidi Fleiss: Hollywood Madam (1995),1995,0.8017241379310345,Documentary,documentary,,documentary,113283,63076,2,5.0
100,City Hall (1996),1996,0.8103448275862069,Drama|Thriller,drama thriller,,drama thriller,115907,11062,14,2.7857
101,Bottle Rocket (1996),1996,0.8103448275862069,Adventure|Comedy|Crime|Romance,adventure comedy crime romance,crime off-beat comedy quirky,adventure comedy crime romance crime off-beat comedy quirky,115734,13685,23,3.7826
102,Mr. Wrong (1996),1996,0.8103448275862069,Comedy,comedy,,comedy,117102,47475,5,2.4
103,Unforgettable (1996),1996,0.8103448275862069,Mystery|Sci-Fi|Thriller,mystery scifi thriller,,mystery scifi thriller,118040,2045,3,3.0
104,Happy Gilmore (1996),1996,0.8103448275862069,Comedy,comedy,test tag golf adam sandler,comedy test tag golf adam sandler,116483,9614,99,3.4394
105,"Bridges of Madison County, The (1995)",1995,0.8017241379310345,Drama|Romance,drama romance,,drama romance,112579,688,23,3.2826
106,Nobody Loves Me (Keiner liebt mich) (1994),1994,0.7931034482758621,Comedy|Drama,comedy drama,,comedy drama,110251,11907,1,4.0
107,Muppet Treasure Island (1996),1996,0.8103448275862069,Adventure|Children|Comedy|Musical,adventure children comedy musical,muppets,adventure children comedy musical muppets,117110,10874,26,3.3269
108,Catwalk (1996),1996,0.8103448275862069,Documentary,documentary,,documentary,112646,89333,1,4.0
110,Braveheart (1995),1995,0.8017241379310345,Action|Drama|War,action drama war,beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland,action drama war beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland,112573,197,237,4.0316
111,Taxi Driver (1976),1976,0.6379310344827587,Crime|Drama|Thriller,crime drama thriller,assassination,crime drama thriller assassination,75314,103,104,4.1058
112,Rumble in the Bronx (Hont faan kui) (1995),1995,0.8017241379310345,Action|Adventure|Comedy|Crime,action adventure comedy crime,,action adventure comedy crime,113326,33542,46,3.5435
113,Before and After (1996),1996,0.8103448275862069,Drama|Mystery,drama mystery,,drama mystery,115645,43566,3,3.3333
116,Anne Frank Remembered (1995),1995,0.8017241379310345,Documentary,documentary,holocaust,documentary holocaust,112373,51352,5,3.9
117,"Young Poisoner's Handbook, The (1995)",1995,0.8017241379310345,Crime|Drama,crime drama,,crime drama,115033,16934,1,3.0
118,If Lucy Fell (1996),1996,0.8103448275862069,Comedy|Romance,comedy romance,,comedy romance,116606,10324,2,2.5
119,"Steal Big, Steal Little (1995)",1995,0.8017241379310345,Comedy,comedy,,comedy,114536,78406,2,3.0
121,"Boys of St. Vincent, The (1992)",1992,0.7758620689655172,Drama,drama,,drama,106473,32119,2,4.0
122,Boomerang (1992),1992,0.7758620689655172,Comedy|Romance,comedy romance,dating,comedy romance dating,103859,11066,16,2.6562
123,Chungking Express (Chung Hing sam lam) (1994),1994,0.7931034482758621,Drama|Mystery|Romance,drama mystery romance,,drama mystery romance,109424,11104,4,4.375
125,Flirting With Disaster (1996),1996,0.8103448275862069,Comedy,comedy,,comedy,116324,2074,12,3.5833
126,"NeverEnding Story III, The (1994)",1994,0.7931034482758621,Adventure|Children|Fantasy,adventure children fantasy,,adventure children fantasy,110647,27793,7,2.0
128,Jupiter's Wife (1994),1994,0.7931034482758621,Documentary,documentary,,documentary,110217,290157,1,3.0
129,Pie in the Sky (1996),1996,0.8103448275862069,Comedy|Romance,comedy romance,,comedy romance,114131,110972,1,2.0
132,Jade (1995),1995,0.8017241379310345,Thriller,thriller,,thriller,113451,11863,6,2.8333
135,Down Periscope (1996),1996,0.8103448275862069,Comedy,comedy,,comedy,116130,9101,31,2.9516
137,Man of the Year (1995),1995,0.8017241379310345,Documentary,documentary,,documentary,113756,5757,1,3.0
140,Up Close and Personal (1996),1996,0.8103448275862069,Drama|Romance,drama romance,journalism,drama romance journalism,118055,9302,16,3.5
141,"Birdcage, The (1996)",1996,0.8103448275862069,Comedy,comedy,,comedy,115685,11000,86,3.4942
144,"Brothers McMullen, The (1995)",1995,0.8017241379310345,Comedy,comedy,,comedy,112585,16388,12,3.3333
145,Bad Boys (1995),1995,0.8017241379310345,Action|Comedy|Crime|Drama|Thriller,action comedy crime drama thriller,,action comedy crime drama thriller,112442,9737,51,3.2451
146,"Amazing Panda Adventure, The (1995)",1995,0.8017241379310345,Adventure|Children,adventure children,,adventure children,112342,30765,3,3.3333
147,"Basketball Diaries, The (1995)",1995,0.8017241379310345,Drama,drama,addiction heroin leonardo dicaprio mark wahlberg,drama addiction heroin leonardo dicaprio mark wahlberg,112461,10474,15,3.4667
148,"Awfully Big Adventure, An (1995)",1995,0.8017241379310345,Drama,drama,,drama,112427,22279,1,5.0
149,Amateur (1994),1994,0.7931034482758621,Crime|Drama|Thriller,crime drama thriller,,crime drama thriller,109093,30157,1,2.0
150,Apollo 13 (1995),1995,0.8017241379310345,Adventure|Drama|IMAX,adventure drama imax,moon nasa space,adventure drama imax moon nasa space,112384,568,201,3.8458
151,Rob Roy (1995),1995,0.8017241379310345,Action|Drama|Romance|War,action drama romance war,,action drama romance war,114287,11780,44,3.5455
152,"Addiction, The (1995)",1995,0.8017241379310345,Drama|Horror,drama horror,,drama horror,112288,34996,2,1.5
153,Batman Forever (1995),1995,0.8017241379310345,Action|Adventure|Comedy|Crime,action adventure comedy crime,superhero,action adventure comedy crime superhero,112462,414,137,2.9161
154,Beauty of the Day (Belle de jour) (1967),1967,0.5603448275862069,Drama,drama,,drama,61395,649,12,3.875
155,Beyond Rangoon (1995),1995,0.8017241379310345,Adventure|Drama|War,adventure drama war,,adventure drama war,112495,1873,6,2.4167
156,Blue in the Face (1995),1995,0.8017241379310345,Comedy|Drama,comedy drama,,comedy drama,112541,5894,3,3.3333
157,Canadian Bacon (1995),1995,0.8017241379310345,Comedy|War,comedy war,,comedy war,109370,1775,11,2.8636
158,Casper (1995),1995,0.8017241379310345,Adventure|Children,adventure children,,adventure children,112642,8839,62,2.8065
159,Clockers (1995),1995,0.8017241379310345,Crime|Drama|Mystery,crime drama mystery,,crime drama mystery,112688,20649,14,2.8929
160,Congo (1995),1995,0.8017241379310345,Action|Adventure|Mystery|Sci-Fi,action adventure mystery scifi,michael crichton,action adventure mystery scifi michael crichton,112715,10329,57,2.8772
161,Crimson Tide (1995),1995,0.8017241379310345,Drama|Thriller|War,drama thriller war,submarine,drama thriller war submarine,112740,8963,103,3.6359
162,Crumb (1994),1994,0.7931034482758621,Documentary,documentary,in netflix queue,documentary in netflix queue,109508,26564,17,4.2059
163,Desperado (1995),1995,0.8017241379310345,Action|Romance|Western,action romance western,,action romance western,112851,8068,66,3.5606
164,Devil in a Blue Dress (1995),1995,0.8017241379310345,Crime|Film-Noir|Mystery|Thriller,crime filmnoir mystery thriller,,crime filmnoir mystery thriller,112857,8512,14,3.3214
165,Die Hard: With a Vengeance (1995),1995,0.8017241379310345,Action|Crime|Thriller,action crime thriller,,action crime thriller,112864,1572,144,3.5556
166,"Doom Generation, The (1995)",1995,0.8017241379310345,Comedy|Crime|Drama,comedy crime drama,,comedy crime drama,112887,13552,3,2.8333
168,First Knight (1995),1995,0.8017241379310345,Action|Drama|Romance,action drama romance,,action drama romance,113071,6520,54,3.0833
169,Free Willy 2: The Adventure Home (1995),1995,0.8017241379310345,Adventure|Children|Drama,adventure children drama,,adventure children drama,113114,9073,10,2.4
170,Hackers (1995),1995,0.8017241379310345,Action|Adventure|Crime|Thriller,action adventure crime thriller,,action adventure crime thriller,113243,10428,35,3.2286
171,Jeffrey (1995),1995,0.8017241379310345,Comedy|Drama,comedy drama,,comedy drama,113464,17447,6,3.8333
172,Johnny Mnemonic (1995),1995,0.8017241379310345,Action|Sci-Fi|Thriller,action scifi thriller,,action scifi thriller,113481,9886,53,2.6792
173,Judge Dredd (1995),1995,0.8017241379310345,Action|Crime|Sci-Fi,action crime scifi,,action crime scifi,113492,9482,62,2.6694
174,Jury Duty (1995),1995,0.8017241379310345,Comedy,comedy,,comedy,113500,19326,10,2.7
175,Kids (1995),1995,0.8017241379310345,Drama,drama,controversial new york city nudity (full frontal),drama controversial new york city nudity (full frontal),113540,9344,20,3.975
176,Living in Oblivion (1995),1995,0.8017241379310345,Comedy,comedy,,comedy,113677,9071,13,4.3077
177,Lord of Illusions (1995),1995,0.8017241379310345,Horror,horror,,horror,113690,8973,8,2.75
178,Love & Human Remains (1993),1993,0.7844827586206896,Comedy|Drama,comedy drama,,comedy drama,107447,15730,1,1.0
179,Mad Love (1995),1995,0.8017241379310345,Drama|Romance,drama romance,,drama romance,113729,47608,2,1.5
180,Mallrats (1995),1995,0.8017241379310345,Comedy|Romance,comedy romance,,comedy romance,113749,2293,36,3.4028
181,Mighty Morphin Power Rangers: The Movie (1995),1995,0.8017241379310345,Action|Children,action children,,action children,113820,9070,17,2.2647
183,Mute Witness (1994),1994,0.7931034482758621,Comedy|Horror|Thriller,comedy horror thriller,,comedy horror thriller,110604,48787,2,3.5
184,Nadja (1994),1994,0.7931034482758621,Drama,drama,,drama,110620,34574,2,3.5
185,"Net, The (1995)",1995,0.8017241379310345,Action|Crime|Thriller,action crime thriller,computers,action crime thriller computers,113957,1642,112,3.0402
186,Nine Months (1995),1995,0.8017241379310345,Comedy|Romance,comedy romance,,comedy romance,113986,11472,48,2.8229
187,Party Girl (1995),1995,0.8017241379310345,Comedy,comedy,,comedy,114095,36196,4,4.125
188,"Prophecy, The (1995)",1995,0.8017241379310345,Fantasy|Horror|Mystery,fantasy horror mystery,,fantasy horror mystery,114194,11980,12,3.4583
189,Reckless (1995),1995,0.8017241379310345,Comedy|Fantasy,comedy fantasy,,comedy fantasy,114241,58372,1,3.0
190,Safe (1995),1995,0.8017241379310345,Thriller,thriller,,thriller,114323,32646,5,2.8
191,"Scarlet Letter, The (1995)",1995,0.8017241379310345,Drama|Romance,drama romance,,drama romance,114345,10533,6,2.4167
193,Showgirls (1995),1995,0.8017241379310345,Drama,drama,,drama,114436,10802,35,2.4714
194,Smoke (1995),1995,0.8017241379310345,Comedy|Drama,comedy drama,,comedy drama,114478,10149,18,3.6667
195,Something to Talk About (1995),1995,0.8017241379310345,Comedy|Drama|Romance,comedy drama romance,,comedy drama romance,114496,18402,10,3.1
196,Species (1995),1995,0.8017241379310345,Horror|Sci-Fi,horror scifi,,horror scifi,114508,9348,45,2.6667
198,Strange Days (1995),1995,0.8017241379310345,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,action crime drama mystery scifi thriller,,action crime drama mystery scifi thriller,114558,281,28,3.25
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1964,0.5344827586206896,Drama|Musical|Romance,drama musical romance,made me cry,drama musical romance made me cry,58450,5967,4,4.125
201,Three Wishes (1995),1995,0.8017241379310345,Drama|Fantasy,drama fantasy,,drama fantasy,114663,47939,1,3.0
202,Total Eclipse (1995),1995,0.8017241379310345,Drama|Romance,drama romance,,drama romance,114702,36834,1,3.0
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995,0.8017241379310345,Comedy,comedy,,comedy,114682,9090,22,3.4318
204,Under Siege 2: Dark Territory (1995),1995,0.8017241379310345,Action,action,,action,114781,3512,30,2.7167
205,Unstrung Heroes (1995),1995,0.8017241379310345,Comedy|Drama,comedy drama,,comedy drama,114798,52856,9,3.1667
206,Unzipped (1995),1995,0.8017241379310345,Documentary,documentary,,documentary,114805,77350,2,3.0
207,"Walk in the Clouds, A (1995)",1995,0.8017241379310345,Drama|Romance,drama romance,,drama romance,114887,9560,21,3.4286
208,Waterworld (1995),1995,0.8017241379310345,Action|Adventure|Sci-Fi,action adventure scifi,,action adventure scifi,114898,9804,115,2.913
209,White Man's Burden (1995),1995,0.8017241379310345,Drama,drama,,drama,114928,31611,3,3.1667
210,Wild Bill (1995),1995,0.8017241379310345,Western,western,,western,114938,65796,4,3.0
211,"Browning Version, The (1994)",1994,0.7931034482758621,Drama,drama,,drama,109340,49805,2,3.5
212,Bushwhacked (1995),1995,0.8017241379310345,Adventure|Comedy|Crime|Mystery,adventure comedy crime mystery,,adventure comedy crime mystery,112602,26258,3,3.0
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),1994,0.7931034482758621,Drama,drama,,drama,111579,50797,6,3.8333
214,Before the Rain (Pred dozhdot) (1994),1994,0.7931034482758621,Drama|War,drama war,,drama war,110882,19155,2,4.0
215,Before Sunrise (1995),1995,0.8017241379310345,Drama|Romance,drama romance,generation x,drama romance generation x,112471,76,24,4.0417
216,Billy Madison (1995),1995,0.8017241379310345,Comedy,comedy,school adam sandler stop looking at me swan,comedy school adam sandler stop looking at me swan,112508,11017,49,3.3265
217,"Babysitter, The (1995)",1995,0.8017241379310345,Drama|Thriller,drama thriller,,drama thriller,112438,37141,6,2.3333
218,Boys on the Side (1995),1995,0.8017241379310345,Comedy|Drama,comedy drama,,comedy drama,112571,9382,14,3.4286
219,"Cure, The (1995)",1995,0.8017241379310345,Drama,drama,,drama,112757,6715,1,3.0
220,Castle Freak (1995),1995,0.8017241379310345,Horror,horror,,horror,112643,18256,1,3.0
222,Circle of Friends (1995),1995,0.8017241379310345,Drama|Romance,drama romance,ireland,drama romance ireland,112679,22625,16,3.75
223,Clerks (1994),1994,0.7931034482758621,Comedy,comedy,cynical hilarious independent film quirky witty generation x,comedy cynical hilarious independent film quirky witty generation x,109445,2292,104,3.8558
224,Don Juan DeMarco (1995),1995,0.8017241379310345,Comedy|Drama|Romance,comedy drama romance,mental illness psychology,comedy drama romance mental illness psychology,112883,1909,40,3.6125
225,Disclosure (1994),1994,0.7931034482758621,Drama|Thriller,drama thriller,,drama thriller,109635,8984,52,3.5385
227,Drop Zone (1994),1994,0.7931034482758621,Action|Thriller,action thriller,,action thriller,109676,4954,22,2.8636
228,Destiny Turns on the Radio (1995),1995,0.8017241379310345,Comedy,comedy,,comedy,112854,62488,3,2.3333
229,Death and the Maiden (1994),1994,0.7931034482758621,Drama|Thriller,drama thriller,,drama thriller,109579,10531,7,3.4286
230,Dolores Claiborne (1995),1995,0.8017241379310345,Drama|Thriller,drama thriller,stephen king,drama thriller stephen king,109642,11929,24,3.3958
231,Dumb & Dumber (Dumb and Dumber) (1994),1994,0.7931034482758621,Adventure|Comedy,adventure comedy,,adventure comedy,109686,8467,133,3.0602
232,Eat Drink Man Woman (Yin shi nan nu) (1994),1994,0.7931034482758621,Comedy|Drama|Romance,comedy drama romance,in netflix queue,comedy drama romance in netflix queue,111797,10451,14,3.8929
233,Exotica (1994),1994,0.7931034482758621,Drama,drama,,drama,109759,20156,12,3.5
234,Exit to Eden (1994),1994,0.7931034482758621,Comedy,comedy,,comedy,109758,18395,17,2.5882
235,Ed Wood (1994),1994,0.7931034482758621,Comedy|Drama,comedy drama,movie business,comedy drama movie business,109707,522,70,3.6786
236,French Kiss (1995),1995,0.8017241379310345,Action|Comedy|Romance,action comedy romance,,action comedy romance,113117,397,45,3.4778
237,Forget Paris (1995),1995,0.8017241379310345,Comedy|Romance,comedy romance,basketball france infertility,comedy romance basketball france infertility,113097,10525,22,3.3409
238,Far From Home: The Adventures of Yellow Dog (1995),1995,0.8017241379310345,Adventure|Children,adventure children,,adventure children,113028,27985,2,4.0
239,"Goofy Movie, A (1995)",1995,0.8017241379310345,Animation|Children|Comedy|Romance,animation children comedy romance,,animation children comedy romance,113198,15789,17,3.0
240,Hideaway (1995),1995,0.8017241379310345,Thriller,thriller,,thriller,113303,27303,4,2.375
241,Fluke (1995),1995,0.8017241379310345,Children|Drama,children drama,,children drama,113089,21183,1,4.0
242,Farinelli: il castrato (1994),1994,0.7931034482758621,Drama|Musical,drama musical,,drama musical,109771,10954,5,3.6
243,Gordy (1995),1995,0.8017241379310345,Children|Comedy|Fantasy,children comedy fantasy,,children comedy fantasy,113199,47867,1,3.0
